Designator,Mid X,Mid Y,Rotation,Layer
_74,111.76,-35.814,0.0,top
_73,111.76,-85.598,180.0,top
_72,137.16,-51.054,0.0,top
_71,137.16,-45.974,0.0,top
_70,137.16,-56.134,0.0,top
_69,124.46,-30.734,0.0,top
_68,137.16,-48.514,0.0,top
_67,137.16,-95.758,180.0,top
_66,111.76,-53.594,0.0,top
_65,111.76,-30.734,0.0,top
_64,137.16,-58.674,0.0,top
_63,111.76,-95.758,180.0,top
_62,111.76,-45.974,0.0,top
_61,137.16,-88.138,180.0,top
_60,134.62,-30.734,0.0,top
_59,137.16,-113.538,180.0,top
_58,132.08,-30.734,0.0,top
_57,127.0,-30.734,0.0,top
_56,137.16,-105.918,180.0,top
_55,137.16,-103.378,180.0,top
_54,137.16,-100.838,180.0,top
_53,111.76,-43.434,0.0,top
_52,137.16,-90.678,180.0,top
_51,137.16,-98.298,180.0,top
_50,121.92,-118.618,180.0,top
_49,111.76,-40.894,0.0,top
_48,114.3,-118.618,180.0,top
_47,129.54,-118.618,180.0,top
_46,111.76,-63.754,0.0,top
_45,111.76,-98.298,180.0,top
_44,132.08,-118.618,180.0,top
_43,137.16,-40.894,0.0,top
_42,137.16,-61.214,0.0,top
_41,137.16,-53.594,0.0,top
_40,137.16,-110.998,180.0,top
_39,111.76,-61.214,0.0,top
_38,111.76,-105.918,180.0,top
_37,111.76,-116.078,180.0,top
_36,111.76,-100.838,180.0,top
_35,111.76,-118.618,180.0,top
_34,119.38,-118.618,180.0,top
_33,137.16,-43.434,0.0,top
_32,114.3,-30.734,0.0,top
_31,119.38,-30.734,0.0,top
_30,127.0,-118.618,180.0,top
_29,111.76,-93.218,180.0,top
_28,121.92,-30.734,0.0,top
_27,111.76,-58.674,0.0,top
_26,111.76,-33.274,0.0,top
_25,111.76,-56.134,0.0,top
_24,116.84,-118.618,180.0,top
_23,124.46,-118.618,180.0,top
_22,111.76,-108.458,180.0,top
_21,111.76,-48.514,0.0,top
_20,111.76,-88.138,180.0,top
_19,111.76,-51.054,0.0,top
_18,137.16,-93.218,180.0,top
_17,137.16,-118.618,180.0,top
_16,111.76,-90.678,180.0,top
_15,137.16,-35.814,0.0,top
_14,137.16,-33.274,0.0,top
_13,137.16,-116.078,180.0,top
_12,137.16,-30.734,0.0,top
_11,111.76,-103.378,180.0,top
_10,137.16,-63.754,0.0,top
_9,134.62,-118.618,180.0,top
_8,129.54,-30.734,0.0,top
_7,137.16,-38.354,0.0,top
_6,137.16,-85.598,180.0,top
_5,111.76,-38.354,0.0,top
_4,111.76,-110.998,180.0,top
_3,137.16,-108.458,180.0,top
_2,111.76,-113.538,180.0,top
,116.84,-30.734,0.0,top
+2.5,115.579,-51.054,180.0,bottom
+2.5Va1,124.46,-59.949,0.0,top
+2.5Vb1,127.0,-59.949,0.0,top
+G1,121.92,-56.119,0.0,top
+G2,124.445,-56.134,90.0,top
+G3,129.54,-58.659,0.0,top
+PolFault1,123.977,-45.976,0.0,bottom
+Power1,123.993,-51.054,180.0,bottom
-2.5,115.579,-103.378,0.0,bottom
-2.5Va1,124.46,-89.413,0.0,top
-2.5Vb1,127.0,-89.413,0.0,top
-G1,129.54,-90.663,0.0,top
-G2,124.445,-93.218,90.0,top
-G3,121.92,-93.233,180.0,top
-PolFault1,123.993,-103.378,180.0,bottom
-Power1,123.993,-98.298,0.0,bottom
C1,125.222,-37.592,180.0,top
C10,128.524,-85.4,0.0,top
C2,125.222,-40.64,180.0,top
C3,125.222,-43.688,180.0,top
C4,123.952,-48.006,90.0,top
C5,128.524,-64.08,0.0,top
C6,125.222,-112.014,180.0,top
C7,125.222,-108.966,180.0,top
C8,125.222,-105.918,180.0,top
C9,123.952,-101.6,270.0,top
D1,132.08,-34.036,180.0,top
D2,132.08,-115.3,0.0,top
D3,116.84,-62.7,180.0,top
D4,116.84,-86.7,0.0,top
D5,116.84,-37.846,180.0,top
D6,116.84,-111.334,0.0,top
D7,116.84,-34.036,180.0,top
D8,116.84,-115.3,0.0,top
L1,132.08,-48.768,270.0,top
L2,132.08,-100.666,90.0,top
L3,132.08,-40.386,270.0,top
L4,132.08,-109.048,90.0,top
R1,115.588,-45.974,0.0,bottom
R10,128.519,-103.378,180.0,bottom
R11,130.302,-39.624,0.0,bottom
R12,130.318,-107.696,0.0,bottom
R13,130.302,-41.656,0.0,bottom
R14,130.318,-109.728,0.0,bottom
R15,116.316,-52.324,0.0,top
R16,115.316,-55.864,90.0,top
R17,117.618,-96.52,180.0,top
R18,118.396,-92.964,270.0,top
R2,115.57,-98.298,0.0,bottom
R3,132.851,-45.974,180.0,bottom
R4,132.867,-103.378,180.0,bottom
R5,132.867,-51.054,180.0,bottom
R6,132.867,-98.298,180.0,bottom
R7,128.519,-51.054,180.0,bottom
R8,128.503,-45.976,180.0,bottom
R9,128.519,-98.298,180.0,bottom
SW1,124.47,-113.622,90.0,bottom
SW2,124.46,-35.814,270.0,bottom
U1,117.588,-46.38,270.0,top
U3,117.602,-102.616,90.0,top
