Designator,Footprint,Quantity,Value,LCSC Part #
"_74, _73, _72, _71, _70, _69, _68, _67, _66, _65, _64, _63, _62, _61, _60, _59, _58, _57, _56, _55, _54, _53, _52, _51, _50, _49, _48, _47, _46, _45, _44, _43, _42, _41, _40, _39, _38, _37, _36, _35, _34, _33, _32, _31, _30, _29, _28, _27, _26, _25, _24, _23, _22, _21, _20, _19, _18, _17, _16, _15, _14, _13, _12, _11, _10, _9, _8, _7, _6, _5, _4, _3, _2, ",,74,,
"+2.5, +PolFault1, +Power1, -2.5, -PolFault1, -Power1",0805,6,LED,
"+2.5Va1, +2.5Vb1, -2.5Va1, -2.5Vb1",PinHeader_1x02_P2.54mm_Vertical,4,Conn_01x02_Pin,
"+G1, +G2, +G3, -G1, -G2, -G3",PinHeader_1x03_P2.54mm_Vertical,6,Conn_01x03,
"+GND, +Vin, -GND, -Vin",TestPoint_Pad_D4.0mm,4,TestPoint,
"C1, C2, C3, C4, C6, C7, C8, C9",1206,8,2.2u,
"C10, C5",0603,2,100n,
"D1, D2",D_MELF,2,Diode,
"D3, D4",2010,2,D_Zener,
"D5, D6",D_MELF,2,Bypass,
"D7, D8",D_MELF,2,PolFaultClamp-DNP,
"L1, L2, L3, L4",L_6.3x6.3_H3,4,L,
"R1, R10, R11, R12, R13, R14, R15, R16, R17, R18, R2, R3, R4, R5, R6, R7, R8, R9",0805,18,680R,
"SW1, SW2",SPDT-Long-SMD,2,SW_SPDT,
U1,SOT-223-3_TabPin2,1,LM317_SOT-223,
U3,SOT-223-3_TabPin2,1,LM337_SOT223,
