Designator,Mid X,Mid Y,Rotation,Layer
_24,76.52,-39.689,0.0,top
_23,76.52,-34.609,0.0,top
_22,51.12,-42.229,0.0,top
_21,51.12,-39.689,0.0,top
_20,51.12,-71.693,0.0,top
_19,76.52,-32.069,0.0,top
_18,76.52,-74.233,0.0,top
_17,76.52,-69.153,0.0,top
_16,76.52,-42.229,0.0,top
_15,51.12,-66.613,0.0,top
_14,76.52,-37.149,0.0,top
_13,51.12,-76.773,0.0,top
_12,76.52,-29.529,0.0,top
_11,76.52,-71.693,0.0,top
_10,51.12,-74.233,0.0,top
_9,51.12,-37.149,0.0,top
_8,51.12,-29.529,0.0,top
_7,51.12,-69.153,0.0,top
_6,76.52,-76.773,0.0,top
_5,76.52,-66.613,0.0,top
_4,51.12,-32.069,0.0,top
_3,51.12,-34.609,0.0,top
_2,51.12,-64.073,0.0,top
,76.52,-64.073,0.0,top
+2.5V_2,66.36,-38.424,0.0,top
+2.5V,63.82,-38.424,0.0,top
+G1,68.9,-37.134,0.0,top
+G2,63.805,-34.609,90.0,top
+G3,61.28,-34.594,0.0,top
-2.5V_2,63.82,-67.888,0.0,top
-2.5V,66.36,-67.888,0.0,top
-G1,61.28,-71.678,0.0,top
-G3,68.9,-69.138,0.0,top
-G4,63.805,-71.693,90.0,top
C1,57.26,-57.6625,90.0,top
C2,67.2225,-42.6,0.0,top
C3,60.7925,-49.8,180.0,top
C4,63.56,-49.8,0.0,top
C5,67.2225,-63.7,0.0,top
C6,61.095,-56.3,180.0,top
C7,63.795,-56.3,0.0,top
C8,60.7925,-48.4,180.0,top
C9,61.06,-57.6,180.0,top
D1,63.86,-57.6,180.0,top
D2,63.5575,-48.5,180.0,top
FB1,62.296,-44.15,270.0,top
FB2,62.296,-62.15,270.0,top
R1,65.9575,-49.8,0.0,top
R2,58.8,-56.83,90.0,top
R3,66.1625,-56.3,0.0,top
R4,69.82,-52.14,90.0,top
Rin1,58.71,-52.51,90.0,top
Rout1,66.785,-53.09,0.0,top
SW1,55.4888,-37.731,180.0,bottom
Signal-In1,52.07,-53.34,270.0,top
Signal-Out1,75.65,-53.06,90.0,top
U1,62.16,-53.0725,90.0,top
