Designator,Footprint,Quantity,Value,LCSC Part #
"_24, _23, _22, _21, _20, _19, _18, _17, _16, _15, _14, _13, _12, _11, _10, _9, _8, _7, _6, _5, _4, _3, _2, ",,24,,
"+2.5V_2, +2.5V, -2.5V_2, -2.5V",PinHeader_1x02_P2.54mm_Vertical,4,Conn_01x02_Pin,
"+G1, +G2, +G3, -G1, -G3, -G4",PinHeader_1x03_P2.54mm_Vertical,6,Conn_01x03,
C1,0603,1,1u,
"C2, C5",0603,2,22u,
"C3, C6",0402,2,47p,
"C4, C7",0402,2,0.1u,
"C8, C9",0402,2,NP,
"D1, D2",0402,2,ESD9B5.0ST5G,
"FB1, FB2",1206,2,FerriteBead_Small,
"R1, R3",0402,2,30.1,
R2,0402,1,JP,
R4,0603,1,NP,
"Rin1, Rout1",0603,2,49.9,
SW1,SPDT-Long-SMD,1,SW_SPDT,
"Signal-In1, Signal-Out1",SMA_Samtec_SMA-J-P-X-ST-EM1_EdgeMount,2,Conn_Coaxial,
U1,QFN50P300X300X100-17N,1,THS4302RGTT,
