Designator,Mid X,Mid Y,Rotation,Layer
D1,52.895,-107.5108,0.0,bottom
D10,52.755,-169.8758,0.0,bottom
D11,71.805,-169.8758,0.0,bottom
D12,90.855,-169.8758,0.0,bottom
D13,52.6418,-112.3104,0.0,top
D14,71.6918,-112.3104,0.0,top
D15,90.7418,-112.3104,0.0,top
D16,52.6418,-133.3104,0.0,top
D17,71.6918,-133.3104,0.0,top
D18,90.7418,-133.3104,0.0,top
D19,52.6418,-154.3104,0.0,top
D2,71.945,-107.5108,0.0,bottom
D20,71.6918,-154.3104,0.0,top
D21,90.7418,-154.3104,0.0,top
D22,52.6418,-175.3104,0.0,top
D23,71.6918,-175.3104,0.0,top
D24,90.7418,-175.3104,0.0,top
D25,97.205,-175.3318,180.0,bottom
D26,97.205,-154.3318,180.0,bottom
D27,97.205,-133.3318,180.0,bottom
D28,97.205,-112.3318,180.0,bottom
D29,92.469,-52.5638,180.0,bottom
D3,90.995,-107.5108,0.0,bottom
D30,51.019,-52.5638,180.0,bottom
D31,46.241,-112.2478,180.0,bottom
D32,46.241,-133.2478,180.0,bottom
D33,46.241,-154.2478,180.0,bottom
D34,46.241,-175.2478,180.0,bottom
D35,61.735,-175.3738,180.0,bottom
D36,81.735,-175.3738,180.0,bottom
D4,52.895,-128.5108,0.0,bottom
D5,71.945,-128.5108,0.0,bottom
D6,90.995,-128.5108,0.0,bottom
D7,52.895,-149.5108,0.0,bottom
D8,71.945,-149.5108,0.0,bottom
D9,90.995,-149.5108,0.0,bottom
S1,52.755,-101.7958,0.0,top
S10,52.755,-164.7958,0.0,top
S11,71.805,-164.7958,0.0,top
S12,90.855,-164.7958,0.0,top
S2,71.805,-101.7958,0.0,top
S3,90.855,-101.7958,0.0,top
S4,52.755,-122.7958,0.0,top
S5,71.805,-122.7958,0.0,top
S6,90.855,-122.7958,0.0,top
S7,52.755,-143.7958,0.0,top
S8,71.805,-143.7958,0.0,top
S9,90.855,-143.7958,0.0,top
SW1,71.805,-57.7958,90.0,top
U1,71.043,-77.5838,90.0,bottom
