Designator,Footprint,Quantity,Value,LCSC Part #
"BOOT1, RESET1",SwitchCustom,2,SW_Push,
"BT1, BT2, BT3, BT4, BT5",AA-CellHolder_HALF,5,AA,
"C1, C2, C3, C4, C5, C6, C7, C8",0603,8,C,
"D1, D2, D3, D4, D5",1206,5,LED,
"D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D20, D6, D7, D8, D9",0402,15,ESD9B5.0ST5G,
"D21, D22, D23, D24, D25",D_MELF,5,Diode,
FLASH1,PinHeader_2x03_P2.54mm_Vertical,1,Conn_01x06_Pin,
"H1, H2",MountingHole_3.2mm_M3_ISO7380_Pad_TopBottom,2,MountingHole_Pad,
J1,USB-C Receptacle Power Only THT,1,USB_C_Receptacle_PowerOnly_6P,
"LedIn1, LedOut1, SenseOut1, SesnseIn1",PinHeader_2x03_P2.54mm_Horizontal,4,Conn_01x06_Pin,
"R1, R2, R3, R4, R5",2512,5,81R,
"R10, R23, R24, R25, R27, R36, R37, R38, R39, R40, R6, R7",0805,12,10k,
"R11, R12, R13, R14, R15",2512,5,51R,
"R28, R29, R30, R31, R32, R33, R34, R35",0805,8,1k,
"R8, R9",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,2,R,
Touch1,TestPoint_Pad_D4.0mm,1,TestPoint,
"U1, U3",SOT-223-3_TabPin2,2,AMS1117-3.3,
U2,ESP32-WROOM-32D,1,ESP32-WROOM-32D,
U4,D1X8K,1,D168K,
