Designator,Mid X,Mid Y,Rotation,Layer
BOOT1,45.212,-39.37,90.0,top
BT1,25.95,-87.55,0.0,top
BT2,46.0,-87.55,0.0,top
BT3,65.913,-87.538,0.0,top
BT4,86.1,-87.55,0.0,top
BT5,106.15,-87.55,0.0,top
C1,44.45,-31.5225,270.0,top
C2,41.91,-31.5225,270.0,top
C3,38.1485,-28.956,180.0,bottom
C4,55.2,-22.2625,90.0,top
C5,21.1825,-54.356,180.0,top
C6,28.0415,-28.956,0.0,bottom
C7,58.37,-86.4445,270.0,bottom
C8,60.88,-86.4445,270.0,bottom
D1,26.0025,-54.37,0.0,top
D10,53.594,-22.352,90.0,top
D11,60.5915,-25.47,180.0,bottom
D12,60.5915,-26.797,180.0,bottom
D13,60.5915,-29.337,180.0,bottom
D14,60.5915,-28.067,180.0,bottom
D15,60.5915,-31.877,180.0,bottom
D16,60.5915,-30.607,180.0,bottom
D17,60.5915,-35.687,180.0,bottom
D18,60.5915,-34.417,180.0,bottom
D19,60.5915,-33.147,180.0,bottom
D2,46.0525,-54.37,0.0,top
D20,60.5915,-36.957,180.0,bottom
D21,52.816,-76.708,270.0,bottom
D22,32.766,-76.708,270.0,bottom
D23,72.866,-76.708,270.0,bottom
D24,92.916,-76.708,270.0,bottom
D25,112.966,-76.708,270.0,bottom
D3,66.1025,-54.37,0.0,top
D4,86.1525,-54.37,0.0,top
D5,106.2025,-54.37,0.0,top
D6,76.656,-23.9405,90.0,bottom
D7,76.656,-28.194,270.0,bottom
D8,76.656,-39.624,270.0,bottom
D9,52.6405,-24.511,0.0,bottom
FLASH1,84.53,-23.095,270.0,top
J1,33.095,-26.3375,180.0,top
LedIn1,22.87,-35.795,180.0,top
LedOut1,109.93,-30.73,0.0,top
R1,30.925,-67.056,0.0,bottom
R10,27.65,-44.323,180.0,top
R11,30.768,-54.48,0.0,bottom
R12,50.818,-54.48,0.0,bottom
R13,70.868,-54.48,0.0,bottom
R14,90.918,-54.48,0.0,bottom
R15,110.968,-54.48,0.0,bottom
R2,50.975,-67.056,0.0,bottom
R23,27.65,-37.936,180.0,top
R24,27.65,-40.09,180.0,top
R25,27.65,-46.482,180.0,top
R27,27.65,-42.23,180.0,top
R28,103.632,-23.895,270.0,top
R29,106.172,-23.879,270.0,top
R3,71.025,-67.056,0.0,bottom
R30,103.642,-47.766,90.0,bottom
R31,98.562,-47.75,90.0,bottom
R32,96.022,-47.782,90.0,bottom
R33,98.552,-23.911,270.0,top
R34,96.393,-23.879,270.0,top
R35,106.055,-47.782,90.0,bottom
R36,75.803,-50.8,180.0,bottom
R37,75.835,-44.704,180.0,bottom
R38,75.835,-46.736,180.0,bottom
R39,75.819,-48.768,180.0,bottom
R4,91.075,-67.056,0.0,bottom
R40,75.803,-42.672,180.0,bottom
R5,111.125,-67.056,0.0,bottom
R6,88.4936,-26.1112,0.0,bottom
R7,88.4936,-23.8252,0.0,bottom
R8,36.195,-38.481,270.0,top
R9,39.497,-38.481,270.0,top
RESET1,52.07,-39.37,90.0,top
SenseOut1,109.93,-40.43,0.0,top
SesnseIn1,22.87,-45.495,180.0,top
U1,43.5,-25.1475,90.0,top
U2,66.25,-29.91,0.0,top
U3,60.96,-79.223,90.0,bottom
U4,95.97,-43.5775,90.0,top
