Designator,Footprint,Quantity,Value,LCSC Part #
,,1,,
BZ1,MagneticBuzzer_Kobitone_254-EMB73-RO,1,Buzzer,
"C1, C10, C11, C12, C13, C14, C15, C16_2, C16, C17_2, C17, C18_2, C18, C19, C2, C20, C3, C4, C5, C6, C7, C8, C9",C_Disc_D3.8mm_W2.6mm_P2.50mm,23,C_Small,
"CON-9B1, CON-9B2",PinHeader_1x12_P2.54mm_Vertical,2,Conn_01x12_Pin,
"D1, D10, D11, D12, D13, D14, D2, D3, D4, D5, D6, D7, D8, D9",D_5W_P5.08mm_Vertical_AnodeUp,14,D_Zener,
"D15, D16, D17, D18, D19, D20, D21, D22, D23, D24",D_DO-41_SOD81_P10.16mm_Horizontal,10,1N4007,
J1,PinHeader_1x09_P2.54mm_Vertical,1,Conn_01x09_Male,
J2,PinHeader_1x07_P2.54mm_Vertical,1,Conn_01x07_Male,
"J3, J4, J5, J6",PinHeader_1x04_P2.54mm_Vertical,4,Conn_01x04_Pin,
"R1, R11, R12, R13, R14, R19, R2, R20, R21, R25, R26, R27, R3, R31_2, R4",R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical,15,1.2k,
"R10, R15, R16, R17, R18, R22, R23, R24, R28, R29, R30_2, R30, R31, R32, R33, R34, R35, R36_2, R36, R37_2, R37, R38_2, R38, R39_2, R39, R40, R41_2, R42, R44, R45, R46, R47, R50, R51, R7, R8, R9",R_Axial_DIN0204_L3.6mm_D1.6mm_P1.90mm_Vertical,37,1k,
"R32_2, R33_2, R34_2, R35_2, R40_2, R41, R42_2, R43, R48, R49",R_Axial_DIN0204_L3.6mm_D1.6mm_P1.90mm_Vertical,10,220,
R5,R_Axial_DIN0204_L3.6mm_D1.6mm_P1.90mm_Vertical,1,1.2k,
R6,R_Axial_DIN0204_L3.6mm_D1.6mm_P1.90mm_Vertical,1,330,
U1,TO-220-3_Horizontal_TabDown,1,LM317_TO-220,
"U10, U11, U12, U13, U14, U15, U16, U19, U2, U20, U21, U22, U23, U24, U25, U26, U27, U28, U3, U4, U5, U6, U7, U8, U9",DIP-4_W7.62mm,25,PC817,
"U17, U18",DIP-18_W7.62mm,2,ULN2803A,
