Designator,Mid X,Mid Y,Rotation,Layer
,27.94,-66.04,0.0,top
BZ1,61.722,-167.894,0.0,top
C1,53.634,-115.824,0.0,top
C10,55.372,-69.302,90.0,top
C11,55.372,-75.184,90.0,top
C12,55.372,-81.006,90.0,top
C13,55.372,-86.828,90.0,top
C14,55.372,-92.67,90.0,top
C15,55.372,-98.512,90.0,top
C16_2,55.372,-104.354,90.0,top
C16,23.622,-72.39,0.0,top
C17_2,41.148,-20.066,180.0,top
C17,49.002,-113.792,180.0,top
C18_2,23.622,-98.044,0.0,top
C18,48.808,-173.696,90.0,top
C19,33.02,-110.744,90.0,top
C2,55.372,-28.408,90.0,top
C20,74.716,-122.936,0.0,top
C3,55.372,-34.25,90.0,top
C4,55.372,-40.092,90.0,top
C5,55.372,-45.934,90.0,top
C6,53.634,-112.522,0.0,top
C7,55.372,-51.776,90.0,top
C8,55.372,-57.618,90.0,top
C9,55.372,-63.46,90.0,top
CON-9B1,64.262,-128.27,0.0,top
CON-9B2,20.31,-129.403,0.0,top
D1,75.97195,-27.238,0.0,top
D10,75.946,-104.068,0.0,top
D11,75.946,-82.478,0.0,top
D12,75.946,-86.796,0.0,top
D13,75.946,-91.114,0.0,top
D14,75.946,-95.432,0.0,top
D15,70.612,-126.627,0.0,top
D16,70.612,-130.038,0.0,top
D17,70.612,-133.467,0.0,top
D18,70.612,-136.896,0.0,top
D19,70.612,-140.325,0.0,top
D2,75.97195,-31.529606,0.0,top
D20,70.612,-143.754,0.0,top
D21,70.612,-147.183,0.0,top
D22,70.612,-150.612,0.0,top
D23,70.612,-154.041,0.0,top
D24,70.612,-157.47,0.0,top
D3,75.97195,-35.874,0.0,top
D4,75.97195,-40.192,0.0,top
D5,75.946,-99.75,0.0,top
D6,75.946,-44.51,0.0,top
D7,75.946,-48.828,0.0,top
D8,75.946,-53.146,0.0,top
D9,75.946,-57.464,0.0,top
J1,68.199,-52.511,180.0,top
J2,68.17305,-100.893,180.0,top
J3,27.178,-81.534,0.0,top
J4,27.178,-104.902,0.0,top
J5,27.178,-23.047,0.0,top
J6,27.178,-49.784,0.0,top
R1,61.722,-25.908,180.0,top
R10,37.338,-42.794,90.0,top
R11,61.722,-49.276,180.0,top
R12,61.722,-55.118,180.0,top
R13,61.722,-60.96,180.0,top
R14,61.722,-66.802,180.0,top
R15,37.338,-48.768,90.0,top
R16,37.338,-54.478,90.0,top
R17,37.338,-60.32,90.0,top
R18,37.338,-66.162,90.0,top
R19,61.722,-72.644,180.0,top
R2,61.722,-31.75,180.0,top
R20,61.722,-78.486,180.0,top
R21,61.722,-84.328,180.0,top
R22,37.338,-72.004,90.0,top
R23,37.338,-77.867,90.0,top
R24,37.338,-83.688,90.0,top
R25,61.722,-90.17,180.0,top
R26,61.722,-96.012,180.0,top
R27,61.722,-101.854,180.0,top
R28,37.338,-89.53,90.0,top
R29,37.338,-95.372,90.0,top
R3,61.722,-37.592,180.0,top
R30_2,22.606,-84.074,180.0,top
R30,37.338,-101.214,90.0,top
R31_2,56.388,-107.696,180.0,top
R31,22.606,-86.614,180.0,top
R32_2,27.564,-121.666,0.0,top
R32,22.606,-89.154,180.0,top
R33_2,27.564,-127.508,0.0,top
R33,22.098,-104.902,180.0,top
R34_2,27.564,-133.35,0.0,top
R34,22.098,-107.442,180.0,top
R35_2,27.564,-115.824,0.0,top
R35,22.606,-23.114,180.0,top
R36_2,44.45,-121.523,270.0,top
R36,22.606,-25.654,180.0,top
R37_2,44.45,-125.73,270.0,top
R37,22.606,-28.194,180.0,top
R38_2,22.606,-30.734,180.0,top
R38,44.45,-129.794,270.0,top
R39_2,22.474,-49.53,180.0,top
R39,44.45,-117.48,270.0,top
R4,61.722,-43.434,180.0,top
R40_2,27.564,-139.192,0.0,top
R40,22.606,-52.07,180.0,top
R41_2,22.606,-55.118,180.0,top
R41,27.564,-145.034,0.0,top
R42_2,27.564,-150.876,0.0,top
R42,22.606,-57.658,180.0,top
R43,27.564,-156.718,0.0,top
R44,44.45,-139.7,270.0,top
R45,44.45,-143.764,270.0,top
R46,44.45,-147.828,270.0,top
R47,44.45,-133.858,270.0,top
R48,27.564,-162.56,0.0,top
R49,27.31,-168.402,0.0,top
R5,59.436,-105.918,0.0,top
R50,44.45,-156.21,270.0,top
R51,44.45,-152.003,270.0,top
R6,61.214,-119.126,180.0,top
R7,37.338,-25.268,90.0,top
R8,37.338,-31.131,90.0,top
R9,37.338,-36.952,90.0,top
U1,59.54,-109.982,270.0,top
U10,50.292,-72.644,180.0,top
U11,50.292,-78.486,180.0,top
U12,50.292,-84.328,180.0,top
U13,50.282,-90.175,180.0,top
U14,50.292,-96.012,180.0,top
U15,50.292,-101.854,180.0,top
U16,50.292,-107.696,180.0,top
U17,49.032,-121.285,0.0,top
U18,49.022,-145.024,0.0,top
U19,32.258,-121.671,0.0,top
U2,50.292,-25.908,180.0,top
U20,32.258,-127.513,0.0,top
U21,32.258,-133.35,0.0,top
U22,32.258,-115.824,0.0,top
U23,32.258,-145.034,0.0,top
U24,32.268,-150.871,0.0,top
U25,32.258,-156.718,0.0,top
U26,32.258,-139.192,0.0,top
U27,32.258,-168.402,0.0,top
U28,32.258,-162.56,0.0,top
U3,50.292,-31.75,180.0,top
U4,50.292,-37.592,180.0,top
U5,50.292,-43.434,180.0,top
U6,50.292,-49.276,180.0,top
U7,50.292,-55.118,180.0,top
U8,50.282,-60.96,180.0,top
U9,50.292,-66.802,180.0,top
